VehicleModel,VehicleYear,PartName,HoursOfOperation,SupplierName,ClaimDate,SettlementAmount,MaintenanceFrequency,EnvironmentCondition,OperationalIntensity,WarrantyStatus,PreviousFailures,pass_fail
Model D,2019,Brake,2308.0,AutoPartsCo,2018-09-03 23:35:59.519839948,1357.1232862640086,500 hours,Coastal,Heavy,Out of Warranty,2,fail
Model D,2021,Alternator,3715.0,MotoComponentsLtd,2018-09-04 14:12:45.855285096,1302.7318173667256,1000 hours,Urban,Moderate,In Warranty,2,fail
Model B,2020,Alternator,4285.0,AutoPartsCo,2018-09-05 04:49:32.190730244,1865.4875879654235,500 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model D,2018,Headlight,590.0,DriveLineTech,2018-09-05 19:26:18.526175392,1690.7620502494324,500 hours,Rural,Heavy,Out of Warranty,4,fail
Model D,2016,Headlight,319.0,DriveLineTech,2018-09-06 10:03:04.861620540,1312.5215013149339,1000 hours,Coastal,Moderate,Out of Warranty,3,pass
Model B,2019,Brake,3510.0,DriveLineTech,2018-09-07 00:39:51.197065688,715.9388658338851,500 hours,Coastal,Heavy,In Warranty,4,fail
Model C,2018,Radiator,3458.0,AutoPartsCo,2018-09-07 15:16:37.532510836,1570.1740752794756,500 hours,Urban,Heavy,Out of Warranty,4,pass
Model D,2021,,555.0,RideEquipCorp,2018-09-08 05:53:23.867955984,1171.656171472462,1500 hours,Mountainous,Light,Out of Warranty,1,pass
Model B,2020,Headlight,1179.0,RideEquipCorp,2018-09-08 20:30:10.203401132,1971.276476796758,500 hours,Urban,Light,Out of Warranty,4,pass
Model A,2022,Alternator,2129.0,DriveLineTech,2018-09-09 11:06:56.538846284,532.6369507111178,1000 hours,Coastal,Heavy,Out of Warranty,3,pass
Model C,2019,Brake,3195.0,MotoComponentsLtd,2018-09-10 01:43:42.874291432,205.32888981522956,1000 hours,Urban,Heavy,In Warranty,0,pass
Model A,2017,Brake,,AutoPartsCo,2018-09-10 16:20:29.209736580,186.28903318149798,500 hours,Mountainous,Moderate,Out of Warranty,0,pass
Model A,2020,Radiator,4958.0,DriveLineTech,2018-09-11 06:57:15.545181728,1298.0592572857768,1500 hours,Rural,Heavy,In Warranty,3,pass
Model B,2016,Radiator,411.0,AutoPartsCo,2018-09-11 21:34:01.880626876,1881.5574463774715,1000 hours,Coastal,Heavy,Out of Warranty,1,pass
Model D,2018,Brake,3770.0,AutoPartsCo,2018-09-12 12:10:48.216072024,53.767232868435116,1000 hours,Mountainous,Light,Out of Warranty,2,fail
Model B,2021,Headlight,1506.0,RideEquipCorp,2018-09-13 02:47:34.551517172,1465.253541567666,1500 hours,Urban,Heavy,Out of Warranty,1,pass
Model B,2017,Alternator,4117.0,DriveLineTech,2018-09-13 17:24:20.886962320,1331.2771059392437,500 hours,,Moderate,In Warranty,3,pass
Model B,2021,Engine,4245.0,RideEquipCorp,2018-09-14 08:01:07.222407468,1477.9931748279585,1000 hours,Urban,Heavy,Out of Warranty,4,pass
Model B,2017,Radiator,1731.0,DriveLineTech,2018-09-14 22:37:53.557852616,743.0405431865544,500 hours,Urban,Light,Out of Warranty,0,pass
Model C,2019,Engine,1102.0,AutoPartsCo,2018-09-15 13:14:39.893297764,1649.9680670828175,500 hours,Rural,Light,In Warranty,4,pass
Model D,2017,Headlight,2559.0,RideEquipCorp,2018-09-16 03:51:26.228742916,137.1785162667808,500 hours,Urban,Light,Out of Warranty,1,pass
Model A,2016,Radiator,4777.0,AutoPartsCo,2018-09-16 18:28:12.564188064,15230.906462129537,500 hours,Urban,Light,Out of Warranty,3,pass
Model A,2016,Engine,731.0,DriveLineTech,2018-09-17 09:04:58.899633212,,1000 hours,Mountainous,Heavy,Out of Warranty,0,pass
Model D,2015,Headlight,3982.0,MotoComponentsLtd,2018-09-17 23:41:45.235078360,979.8336609732395,1500 hours,Urban,Moderate,Out of Warranty,3,fail
Model A,2016,Alternator,,RideEquipCorp,2018-09-18 14:18:31.570523508,1654.14072953658,1000 hours,Rural,Moderate,In Warranty,0,pass
Model D,2020,Headlight,,,2018-09-19 04:55:17.905968656,579.1501186227172,1500 hours,Urban,Moderate,In Warranty,0,pass
Model A,2017,,4066.0,AutoPartsCo,2018-09-19 19:32:04.241413804,411.1546477055923,500 hours,Urban,Heavy,In Warranty,0,pass
Model B,2016,Brake,33520.0,AutoPartsCo,2018-09-20 10:08:50.576858952,1378.5607114283741,1500 hours,Urban,Heavy,Out of Warranty,1,fail
Model A,2019,Alternator,769.0,MotoComponentsLtd,2018-09-21 00:45:36.912304100,1090.120038438269,500 hours,,Heavy,Out of Warranty,3,pass
Model D,2021,Engine,124.0,RideEquipCorp,2018-09-21 15:22:23.247749248,1053.0875440550599,1000 hours,Rural,Moderate,Out of Warranty,2,fail
Model D,2022,Radiator,1343.0,DriveLineTech,2018-09-22 05:59:09.583194400,550.7005552989307,1000 hours,Coastal,Heavy,Out of Warranty,2,pass
Model D,2021,Brake,1972.0,,2018-09-22 20:35:55.918639548,118.01659634905393,1500 hours,Rural,Heavy,In Warranty,2,pass
Model D,2015,Headlight,4207.0,RideEquipCorp,2018-09-23 11:12:42.254084696,850.0248197468478,500 hours,Rural,Light,Out of Warranty,3,fail
Model D,2021,Brake,369.0,RideEquipCorp,2018-09-24 01:49:28.589529844,257.79098691214756,,Mountainous,Light,In Warranty,4,fail
Model C,2017,Radiator,2199.0,RideEquipCorp,2018-09-24 16:26:14.924974992,1816.6788437659443,1500 hours,Coastal,Moderate,Out of Warranty,3,pass
Model C,2015,Radiator,1502.0,MotoComponentsLtd,2018-09-25 07:03:01.260420140,130.43813076987453,500 hours,Rural,Light,Out of Warranty,0,pass
Model A,2017,Brake,1605.0,DriveLineTech,2018-09-25 21:39:47.595865288,891.7191656595438,500 hours,Rural,Light,In Warranty,4,pass
,2019,Headlight,4257.0,DriveLineTech,2018-09-26 12:16:33.931310436,151.87888821661437,500 hours,Mountainous,Light,Out of Warranty,0,fail
Model A,2015,Brake,3082.0,,2018-09-27 02:53:20.266755584,236.31055540129432,1000 hours,Coastal,Heavy,In Warranty,0,pass
,2018,Radiator,510.0,AutoPartsCo,2018-09-27 17:30:06.602200732,1334.7900004979429,1000 hours,Urban,Light,In Warranty,3,pass
Model D,2020,Radiator,936.0,RideEquipCorp,2018-09-28 08:06:52.937645880,1311.8669588994844,,Mountainous,Light,Out of Warranty,2,pass
Model C,2020,Engine,3583.0,AutoPartsCo,2018-09-28 22:43:39.273091032,114.45178001490757,500 hours,Rural,Light,In Warranty,4,pass
Model C,2017,Engine,3986.0,MotoComponentsLtd,2018-09-29 13:20:25.608536180,52.20637648569688,1000 hours,Coastal,Heavy,In Warranty,1,pass
Model B,2021,Alternator,1165.0,DriveLineTech,2018-09-30 03:57:11.943981328,203.6952506234288,500 hours,Rural,Moderate,Out of Warranty,2,pass
Model C,2022,Radiator,1125.0,DriveLineTech,2018-09-30 18:33:58.279426476,1537.8478505382873,500 hours,Mountainous,Heavy,In Warranty,1,pass
Model B,2022,Engine,3926.0,AutoPartsCo,2018-10-01 09:10:44.614871624,1189.924121865439,1500 hours,Mountainous,Heavy,In Warranty,3,pass
Model B,2018,Brake,4665.0,RideEquipCorp,2018-10-01 23:47:30.950316772,,500 hours,Coastal,Light,Out of Warranty,4,pass
Model B,2015,Headlight,4957.0,AutoPartsCo,2018-10-02 14:24:17.285761920,1001.7891809520132,1000 hours,Mountainous,Moderate,In Warranty,3,pass
Model B,2018,Brake,1974.0,RideEquipCorp,2018-10-03 05:01:03.621207068,,,Mountainous,Light,Out of Warranty,1,pass
Model B,2018,Headlight,976.0,MotoComponentsLtd,2018-10-03 19:37:49.956652216,1744.4552194715723,500 hours,Urban,Light,In Warranty,0,pass
Model A,2021,Engine,4702.0,DriveLineTech,2018-10-04 10:14:36.292097364,,1000 hours,Rural,Moderate,Out of Warranty,3,pass
Model C,2022,Alternator,2331.0,MotoComponentsLtd,2018-10-05 00:51:22.627542516,688.50909776043,500 hours,Urban,Moderate,Out of Warranty,4,pass
Model B,2015,Brake,1105.0,DriveLineTech,2018-10-05 15:28:08.962987664,314.8732354058681,1500 hours,,Heavy,Out of Warranty,3,fail
Model D,2019,Brake,4724.0,MotoComponentsLtd,2018-10-06 06:04:55.298432812,512.0055454263226,500 hours,Coastal,Moderate,Out of Warranty,2,pass
Model C,2021,Brake,591.0,AutoPartsCo,2018-10-06 20:41:41.633877960,1563.5344094784364,500 hours,Mountainous,Heavy,Out of Warranty,3,pass
Model C,2018,Headlight,2211.0,MotoComponentsLtd,2018-10-07 11:18:27.969323108,1944.3942193325058,1500 hours,Rural,Heavy,In Warranty,1,pass
Model B,2018,Engine,2301.0,MotoComponentsLtd,2018-10-08 01:55:14.304768256,959.4675538527421,1000 hours,Rural,Light,Out of Warranty,3,pass
Model A,2019,Brake,,AutoPartsCo,2018-10-08 16:32:00.640213404,645.4387664181901,1500 hours,Rural,Light,Out of Warranty,4,pass
Model B,2018,Brake,,,2018-10-09 07:08:46.975658552,886.9216348220672,1500 hours,Mountainous,Light,In Warranty,3,pass
Model A,2018,Alternator,2794.0,DriveLineTech,2018-10-09 21:45:33.311103700,644.3856320580082,500 hours,Rural,Moderate,Out of Warranty,3,pass
Model D,2018,Alternator,3919.0,AutoPartsCo,2018-10-10 12:22:19.646548848,550.1506702539509,500 hours,Rural,Moderate,In Warranty,4,pass
Model C,2020,Engine,4531.0,,2018-10-11 02:59:05.981994000,1207.813967194,1500 hours,Mountainous,Heavy,In Warranty,3,pass
Model D,2021,Engine,4207.0,MotoComponentsLtd,2018-10-11 17:35:52.317439148,806.8516172841157,1000 hours,Coastal,Heavy,Out of Warranty,4,fail
Model A,2016,Radiator,4660.0,MotoComponentsLtd,2018-10-12 08:12:38.652884296,556.1268848967269,1500 hours,Rural,Heavy,In Warranty,1,fail
Model A,2021,Alternator,4575.0,RideEquipCorp,2018-10-12 22:49:24.988329444,1339.6950517977286,1000 hours,Mountainous,Moderate,In Warranty,4,fail
Model D,2019,Radiator,4725.0,DriveLineTech,2018-10-13 13:26:11.323774592,112.5222577982698,1500 hours,Urban,Heavy,In Warranty,1,pass
Model A,2018,Headlight,1610.0,MotoComponentsLtd,2018-10-14 04:02:57.659219740,212.24354219242323,1500 hours,Mountainous,Heavy,Out of Warranty,1,fail
Model D,2021,Radiator,3812.0,DriveLineTech,2018-10-14 18:39:43.994664888,622.1224823322804,1000 hours,Urban,Moderate,In Warranty,4,fail
Model C,2020,Brake,1214.0,MotoComponentsLtd,2018-10-15 09:16:30.330110036,1761.7193572875206,1500 hours,Mountainous,Light,Out of Warranty,3,fail
Model D,2022,Radiator,2772.0,,2018-10-15 23:53:16.665555184,1541.5280123223276,,Rural,Moderate,Out of Warranty,2,pass
Model C,2019,Engine,2408.0,AutoPartsCo,2018-10-16 14:30:03.001000332,93.20542736167488,1500 hours,Coastal,Heavy,In Warranty,4,fail
Model D,2017,Headlight,520.0,DriveLineTech,2018-10-17 05:06:49.336445480,1028.3399925425592,500 hours,Coastal,Light,Out of Warranty,3,pass
Model A,2021,Brake,1466.0,DriveLineTech,2018-10-17 19:43:35.671890632,585.6406132754627,1000 hours,Rural,Moderate,In Warranty,1,pass
Model D,2017,Radiator,1518.0,AutoPartsCo,2018-10-18 10:20:22.007335780,1314.8590351710227,1000 hours,Urban,Light,In Warranty,0,pass
Model A,2018,Headlight,858.0,RideEquipCorp,2018-10-19 00:57:08.342780928,1457.0300710572494,500 hours,Mountainous,Light,Out of Warranty,2,fail
Model D,2020,Headlight,221.0,AutoPartsCo,2018-10-19 15:33:54.678226076,1732.582025402101,1500 hours,Rural,Heavy,Out of Warranty,3,fail
Model D,2020,Brake,4176.0,MotoComponentsLtd,2018-10-20 06:10:41.013671224,977.0616623528279,500 hours,Mountainous,Moderate,Out of Warranty,2,pass
Model B,2021,Radiator,4192.0,RideEquipCorp,2018-10-20 20:47:27.349116372,1989.1776726638898,500 hours,Rural,Heavy,In Warranty,0,pass
Model A,2019,Headlight,4275.0,AutoPartsCo,2018-10-21 11:24:13.684561520,1960.9729092098632,1000 hours,Rural,Moderate,In Warranty,0,pass
Model B,2019,,2449.0,RideEquipCorp,2018-10-22 02:01:00.020006668,1770.2251127185148,500 hours,Mountainous,Moderate,In Warranty,0,pass
Model A,2020,Alternator,1695.0,RideEquipCorp,2018-10-22 16:37:46.355451816,1170.9955155582381,1500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model B,2019,Headlight,107.0,RideEquipCorp,2018-10-23 07:14:32.690896964,826.1125531324393,500 hours,Coastal,Light,In Warranty,2,pass
Model C,2020,Alternator,1179.0,DriveLineTech,2018-10-23 21:51:19.026342116,,1000 hours,Urban,Light,In Warranty,4,fail
Model D,2021,Radiator,1403.0,AutoPartsCo,2018-10-24 12:28:05.361787264,73.64326267110242,1500 hours,Mountainous,Heavy,In Warranty,0,pass
Model A,2016,Radiator,817.0,DriveLineTech,2018-10-25 03:04:51.697232412,535.8902696226147,1000 hours,Urban,Moderate,In Warranty,3,pass
Model A,2020,Radiator,3945.0,DriveLineTech,2018-10-25 17:41:38.032677560,1451.6760581508709,500 hours,Rural,Moderate,Out of Warranty,0,fail
Model D,2017,,732.0,MotoComponentsLtd,2018-10-26 08:18:24.368122708,1227.0825947914798,500 hours,Urban,Light,In Warranty,4,fail
Model A,2019,Radiator,3504.0,MotoComponentsLtd,2018-10-26 22:55:10.703567856,1837.0232688766905,1000 hours,Rural,Moderate,Out of Warranty,0,fail
Model A,2020,Headlight,20580.0,RideEquipCorp,2018-10-27 13:31:57.039013004,147.54342048728785,1000 hours,Mountainous,Heavy,In Warranty,0,pass
Model B,2020,Brake,3192.0,RideEquipCorp,2018-10-28 04:08:43.374458152,352.78937619579466,1500 hours,Mountainous,Moderate,In Warranty,4,fail
Model A,2021,Alternator,1840.0,MotoComponentsLtd,2018-10-28 18:45:29.709903300,1589.0253892366538,1000 hours,Mountainous,Moderate,In Warranty,4,pass
Model C,2019,Engine,1527.0,MotoComponentsLtd,2018-10-29 09:22:16.045348448,749.0898808309009,1000 hours,Mountainous,Light,Out of Warranty,3,fail
Model C,2016,Radiator,935.0,AutoPartsCo,2018-10-29 23:59:02.380793596,280.77340074986193,500 hours,Urban,Moderate,Out of Warranty,4,fail
Model D,2021,Radiator,3956.0,RideEquipCorp,2018-10-30 14:35:48.716238748,1993.0784849451738,500 hours,Rural,Heavy,Out of Warranty,3,fail
Model A,2016,Brake,4542.0,RideEquipCorp,2018-10-31 05:12:35.051683896,1585.1380902052576,1000 hours,Coastal,Heavy,In Warranty,1,pass
Model D,2022,Brake,1588.0,,2018-10-31 19:49:21.387129044,847.045021678339,1000 hours,Mountainous,Heavy,In Warranty,1,pass
Model C,2021,Engine,2123.0,AutoPartsCo,2018-11-01 10:26:07.722574192,1655.5275800449735,500 hours,Mountainous,Heavy,Out of Warranty,4,fail
Model A,2019,Alternator,362.0,MotoComponentsLtd,2018-11-02 01:02:54.058019340,1377.1775467323491,1500 hours,Rural,Light,In Warranty,0,fail
Model A,2015,,860.0,MotoComponentsLtd,2018-11-02 15:39:40.393464488,1590.450781161175,1500 hours,Coastal,Moderate,In Warranty,2,pass
Model D,2019,Engine,2285.0,DriveLineTech,2018-11-03 06:16:26.728909636,1639.6524362530172,1500 hours,Mountainous,Light,Out of Warranty,0,fail
Model C,2019,Headlight,2907.0,RideEquipCorp,2018-11-03 20:53:13.064354784,215.22093241611992,1500 hours,Coastal,Heavy,In Warranty,4,pass
Model A,2016,Headlight,2813.0,AutoPartsCo,2018-11-04 11:29:59.399799932,1264.7971309917866,500 hours,Mountainous,Moderate,In Warranty,3,pass
Model D,2016,Engine,,,2018-11-05 02:06:45.735245080,63.2318283048138,1000 hours,Urban,Light,In Warranty,0,pass
Model C,2019,,1557.0,RideEquipCorp,2018-11-05 16:43:32.070690232,134.7396802872827,1500 hours,Urban,Moderate,Out of Warranty,1,pass
Model D,2019,Engine,4595.0,MotoComponentsLtd,2018-11-06 07:20:18.406135380,1812.7610176588896,500 hours,,Heavy,In Warranty,4,pass
Model B,2019,Radiator,2620.0,AutoPartsCo,2018-11-06 21:57:04.741580528,1078.7492566457709,1000 hours,Rural,Heavy,Out of Warranty,0,fail
Model A,2016,Brake,1944.0,RideEquipCorp,2018-11-07 12:33:51.077025676,1485.0088724436234,1500 hours,Rural,Moderate,In Warranty,0,pass
Model B,2019,Engine,2755.0,MotoComponentsLtd,2018-11-08 03:10:37.412470824,1685.0769313641347,1000 hours,Urban,Moderate,Out of Warranty,3,pass
Model C,2019,Radiator,646.0,DriveLineTech,2018-11-08 17:47:23.747915972,1901.6941967509408,1500 hours,Rural,Heavy,Out of Warranty,3,fail
Model B,2022,Engine,2197.0,AutoPartsCo,2018-11-09 08:24:10.083361120,1745.2380534494519,1000 hours,Rural,Light,Out of Warranty,3,fail
Model B,2018,Engine,665.0,RideEquipCorp,2018-11-09 23:00:56.418806268,992.4573249597231,1500 hours,Rural,Heavy,Out of Warranty,2,pass
Model C,2015,Radiator,997.0,DriveLineTech,2018-11-10 13:37:42.754251416,705.1420993919974,1500 hours,Coastal,Moderate,In Warranty,4,pass
Model D,2017,Radiator,4701.0,MotoComponentsLtd,2018-11-11 04:14:29.089696564,351.2618106017744,1000 hours,Coastal,Light,Out of Warranty,4,pass
Model B,2015,Alternator,4423.0,MotoComponentsLtd,2018-11-11 18:51:15.425141712,830.6268908501959,1000 hours,Rural,Heavy,In Warranty,1,fail
Model D,2018,Engine,3814.0,RideEquipCorp,2018-11-12 09:28:01.760586864,764.6624793642687,1000 hours,Urban,Moderate,In Warranty,1,pass
Model B,2017,Headlight,2063.0,MotoComponentsLtd,2018-11-13 00:04:48.096032012,11411.70941813953,500 hours,Rural,Moderate,Out of Warranty,4,pass
Model D,2021,Engine,3747.0,AutoPartsCo,2018-11-13 14:41:34.431477160,,500 hours,Mountainous,Moderate,In Warranty,0,fail
Model C,2019,Engine,540.0,RideEquipCorp,2018-11-14 05:18:20.766922308,1957.7346790678425,1000 hours,Urban,Light,In Warranty,4,pass
Model B,2018,Radiator,4400.0,DriveLineTech,2018-11-14 19:55:07.102367456,1470.3530628964284,500 hours,Coastal,Light,In Warranty,2,pass
Model C,2022,Engine,2478.0,RideEquipCorp,2018-11-15 10:31:53.437812604,1305.3096382637004,,Mountainous,Light,In Warranty,1,fail
Model B,2021,Engine,591.0,RideEquipCorp,2018-11-16 01:08:39.773257752,703.430246823268,1000 hours,Rural,Light,Out of Warranty,1,pass
Model C,2019,Headlight,1337.0,DriveLineTech,2018-11-16 15:45:26.108702900,117.28255917173566,500 hours,Rural,Moderate,In Warranty,1,pass
Model C,2016,Radiator,1683.0,MotoComponentsLtd,2018-11-17 06:22:12.444148048,611.844001266649,,Urban,Moderate,In Warranty,4,fail
Model B,2020,Engine,4970.0,,2018-11-17 20:58:58.779593196,1548.4734058962547,1500 hours,Urban,Light,In Warranty,1,fail
Model B,2018,Brake,2976.0,AutoPartsCo,2018-11-18 11:35:45.115038348,450.2802845674134,1500 hours,Rural,Light,In Warranty,1,pass
Model B,2016,Alternator,1402.0,MotoComponentsLtd,2018-11-19 02:12:31.450483496,1438.7669776645232,500 hours,Rural,Moderate,In Warranty,4,pass
Model A,2018,Headlight,,RideEquipCorp,2018-11-19 16:49:17.785928644,1180.5706930103609,1500 hours,Urban,Heavy,Out of Warranty,0,fail
Model D,2022,Engine,,MotoComponentsLtd,2018-11-20 07:26:04.121373792,385.12089601340654,1000 hours,Mountainous,Heavy,In Warranty,1,pass
Model A,2018,Brake,4918.0,MotoComponentsLtd,2018-11-20 22:02:50.456818940,560.1683722690684,500 hours,Coastal,Moderate,Out of Warranty,1,pass
Model A,2016,Engine,40170.0,AutoPartsCo,2018-11-21 12:39:36.792264088,1017.7920267986292,1000 hours,Urban,Light,In Warranty,1,pass
Model C,2022,Engine,4473.0,MotoComponentsLtd,2018-11-22 03:16:23.127709236,865.8306749603025,1000 hours,Mountainous,Light,Out of Warranty,2,pass
Model B,2017,Radiator,2308.0,MotoComponentsLtd,2018-11-22 17:53:09.463154384,1568.199502716181,1000 hours,Rural,Moderate,In Warranty,4,fail
,2015,Radiator,4697.0,MotoComponentsLtd,2018-11-23 08:29:55.798599532,1482.0890529593316,1500 hours,Coastal,Heavy,In Warranty,1,pass
Model C,2019,Radiator,2123.0,RideEquipCorp,2018-11-23 23:06:42.134044680,1170.4202817723833,1000 hours,Mountainous,Moderate,Out of Warranty,2,fail
Model A,2018,Brake,751.0,MotoComponentsLtd,2018-11-24 13:43:28.469489828,1653.435687372204,1500 hours,Coastal,Moderate,Out of Warranty,0,fail
Model B,2019,Engine,1969.0,DriveLineTech,2018-11-25 04:20:14.804934980,1147.2056043344019,1000 hours,Coastal,Moderate,Out of Warranty,0,fail
Model C,2020,Alternator,2510.0,MotoComponentsLtd,2018-11-25 18:57:01.140380128,1930.5590504816573,1500 hours,Coastal,Light,In Warranty,2,fail
Model B,2016,Headlight,4312.0,AutoPartsCo,2018-11-26 09:33:47.475825276,473.5869933446088,1500 hours,Mountainous,Light,Out of Warranty,0,fail
Model C,2019,Radiator,4314.0,MotoComponentsLtd,2018-11-27 00:10:33.811270424,1442.5573875241978,1500 hours,Mountainous,Light,Out of Warranty,3,pass
Model B,2016,Radiator,4374.0,MotoComponentsLtd,2018-11-27 14:47:20.146715572,771.3910575062125,1000 hours,Rural,Heavy,Out of Warranty,0,pass
Model A,2019,,416.0,RideEquipCorp,2018-11-28 05:24:06.482160720,593.9840791193781,1000 hours,Coastal,Moderate,In Warranty,3,fail
Model D,2015,Engine,577.0,DriveLineTech,2018-11-28 20:00:52.817605868,401.7555781370401,1500 hours,,Moderate,In Warranty,2,pass
Model A,2015,Brake,4936.0,MotoComponentsLtd,2018-11-29 10:37:39.153051016,1127.3817787100104,1000 hours,Urban,Heavy,In Warranty,3,pass
Model D,2022,Brake,3768.0,DriveLineTech,2018-11-30 01:14:25.488496164,470.16539386096196,1500 hours,Urban,Light,Out of Warranty,0,pass
Model B,2015,,3659.0,AutoPartsCo,2018-11-30 15:51:11.823941312,440.68416032439154,1000 hours,Mountainous,Moderate,In Warranty,1,pass
Model C,2022,Engine,3985.0,RideEquipCorp,2018-12-01 06:27:58.159386464,1981.537214913445,1500 hours,Rural,Heavy,In Warranty,3,fail
Model A,2015,Alternator,4669.0,DriveLineTech,2018-12-01 21:04:44.494831612,1613.4074628492335,1500 hours,Mountainous,Light,In Warranty,0,fail
Model D,2015,Headlight,2203.0,RideEquipCorp,2018-12-02 11:41:30.830276760,1509.1397994960319,500 hours,Coastal,Light,In Warranty,1,pass
Model A,2015,Engine,1958.0,MotoComponentsLtd,2018-12-03 02:18:17.165721908,1598.4182204713723,1000 hours,Urban,Moderate,Out of Warranty,2,fail
Model D,2016,Engine,3062.0,AutoPartsCo,2018-12-03 16:55:03.501167056,1939.3996037515478,1000 hours,Mountainous,Light,In Warranty,2,pass
Model A,2018,Brake,4278.0,RideEquipCorp,2018-12-04 07:31:49.836612204,1167.889543068747,500 hours,Urban,Heavy,Out of Warranty,4,fail
Model D,2022,Headlight,3072.0,MotoComponentsLtd,2018-12-04 22:08:36.172057352,479.4755609355781,1500 hours,Mountainous,Light,Out of Warranty,2,pass
Model D,2019,Radiator,,DriveLineTech,2018-12-05 12:45:22.507502500,1731.308799468816,1500 hours,Urban,Moderate,Out of Warranty,4,fail
Model B,2015,Engine,2770.0,AutoPartsCo,2018-12-06 03:22:08.842947648,1498.3249224354759,500 hours,,Heavy,Out of Warranty,2,pass
Model D,2016,Radiator,1820.0,AutoPartsCo,2018-12-06 17:58:55.178392796,857.9012090516376,500 hours,Urban,Light,Out of Warranty,2,pass
Model B,2016,Engine,,DriveLineTech,2018-12-07 08:35:41.513837944,973.4605222205604,1500 hours,Coastal,Light,Out of Warranty,2,fail
Model D,2016,Radiator,1827.0,DriveLineTech,2018-12-07 23:12:27.849283096,851.9421770337947,1000 hours,Coastal,Light,In Warranty,4,pass
Model C,2022,Headlight,4262.0,,2018-12-08 13:49:14.184728244,1863.3872124465581,,Mountainous,Heavy,Out of Warranty,4,fail
Model C,2018,Brake,847.0,RideEquipCorp,2018-12-09 04:26:00.520173392,719.8866424216736,500 hours,Mountainous,Light,In Warranty,3,pass
Model C,2022,Headlight,3265.0,AutoPartsCo,2018-12-09 19:02:46.855618540,1928.7943433795363,500 hours,Mountainous,Moderate,Out of Warranty,0,pass
Model D,2019,Alternator,3838.0,DriveLineTech,2018-12-10 09:39:33.191063688,1825.0299539452024,500 hours,Coastal,Heavy,In Warranty,0,pass
Model B,2018,Brake,3026.0,RideEquipCorp,2018-12-11 00:16:19.526508836,1279.516227383938,500 hours,Rural,Heavy,Out of Warranty,0,pass
Model B,2017,Headlight,3787.0,MotoComponentsLtd,2018-12-11 14:53:05.861953984,1180.6524575451456,500 hours,Rural,Light,In Warranty,2,pass
Model D,2021,Alternator,1761.0,AutoPartsCo,2018-12-12 05:29:52.197399132,771.6740961364433,1500 hours,Coastal,Heavy,In Warranty,0,fail
Model C,2016,Engine,802.0,DriveLineTech,2018-12-12 20:06:38.532844280,85.75985857076726,1500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model C,2022,Engine,2519.0,MotoComponentsLtd,2018-12-13 10:43:24.868289428,298.8652131636188,500 hours,Mountainous,Heavy,Out of Warranty,3,fail
Model B,2017,Radiator,4019.0,AutoPartsCo,2018-12-14 01:20:11.203734580,,1500 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model C,2020,Brake,1442.0,AutoPartsCo,2018-12-14 15:56:57.539179728,969.5032468469223,1000 hours,Mountainous,Light,Out of Warranty,3,pass
Model A,2022,Engine,2655.0,RideEquipCorp,2018-12-15 06:33:43.874624876,342.18436166653777,1000 hours,Rural,Heavy,In Warranty,0,pass
Model B,2015,Brake,727.0,DriveLineTech,2018-12-15 21:10:30.210070024,564.7236655571484,500 hours,Rural,Moderate,In Warranty,0,pass
Model C,2021,Engine,155.0,MotoComponentsLtd,2018-12-16 11:47:16.545515172,1898.2819547016495,1000 hours,,Light,Out of Warranty,4,fail
Model B,2015,Radiator,3337.0,AutoPartsCo,2018-12-17 02:24:02.880960320,765.9090288550169,1000 hours,Rural,Moderate,Out of Warranty,3,pass
Model A,2018,Headlight,4803.0,RideEquipCorp,2018-12-17 17:00:49.216405468,1819.9797931773492,1500 hours,Mountainous,Heavy,In Warranty,4,pass
Model B,2021,Radiator,1996.0,MotoComponentsLtd,2018-12-18 07:37:35.551850616,644.0398729724745,1500 hours,Mountainous,Heavy,Out of Warranty,4,pass
Model B,2022,Alternator,1145.0,MotoComponentsLtd,2018-12-18 22:14:21.887295764,1109.2791840159637,1500 hours,Mountainous,Moderate,In Warranty,1,pass
Model B,2019,Engine,1832.0,AutoPartsCo,2018-12-19 12:51:08.222740912,89.93031255628588,1500 hours,Mountainous,Light,Out of Warranty,4,pass
Model B,2017,Alternator,4591.0,MotoComponentsLtd,2018-12-20 03:27:54.558186064,1067.656465228475,1000 hours,,Light,Out of Warranty,4,pass
Model A,2019,Alternator,3307.0,AutoPartsCo,2018-12-20 18:04:40.893631212,1292.036920690729,500 hours,Urban,Light,In Warranty,1,pass
Model D,2022,Brake,2047.0,,2018-12-21 08:41:27.229076360,506.8949437074969,1500 hours,Coastal,Light,In Warranty,2,fail
Model B,2018,Engine,4919.0,RideEquipCorp,2018-12-21 23:18:13.564521508,1178.9274936004463,1000 hours,Coastal,Moderate,Out of Warranty,2,fail
Model B,2015,Alternator,,MotoComponentsLtd,2018-12-22 13:54:59.899966656,1311.9771554994218,1500 hours,Rural,Heavy,In Warranty,1,pass
Model C,2021,Headlight,4056.0,AutoPartsCo,2018-12-23 04:31:46.235411804,1389.4278528444252,1000 hours,Mountainous,Moderate,Out of Warranty,4,pass
